full_sq,life_sq,material,num_room
76,45,1,3
43,18,6,1
61,39,1,3
55,54,1,2
104,73,1,3
49,25,1,2
57,33,1,2
39,16,1,1
41,20,1,1
45,27,1,2
78,53,2,3
31,19,1,1
42,26,2,2
38,20,1,1
56,31,2,2
138,81,2,3
34,34,1,1
77,46,1,3
76,51,2,3
44,28,1,2
92,32,1,2
65,44,1,3
65,34,1,2
41,20,1,1
38,20,1,1
66,28,1,2
37,22,1,2
37,22,5,2
38,19,1,1
44,27,1,2
66,36,1,2
44,28,1,2
38,19,1,1
36,20,1,1
44,30,2,2
46,28,2,2
44,44,1,1
60,33,1,2
44,31,1,2
47,29,1,2
44,27,2,2
74,44,1,3
35,19,5,1
37,22,5,2
49,29,1,2
117,66,4,3
52,30,1,2
44,29,1,2
33,18,1,1
44,44,6,1
80,47,1,3
96,61,1,4
38,20,6,1
36,19,2,1
51,46,1,1
41,20,1,1
38,17,1,1
79,47,2,3
57,42,2,3
82,42,1,3
35,20,1,1
83,60,6,3
65,40,2,3
100,100,5,2
52,52,1,2
41,26,1,2
78,74,1,3
58,43,1,2
79,79,1,3
45,28,1,2
47,31,1,2
42,20,1,1
49,44,1,1
46,28,1,2
52,31,1,2
43,27,1,2
39,20,1,1
35,18,2,1
55,19,2,1
35,19,1,1
41,17,4,1
38,18,1,1
37,18,1,1
77,43,2,2
42,26,5,2
118,74,4,4
75,44,1,3
15,11,2,1
39,19,1,1
38,19,5,1
64,64,1,2
36,14,1,1
47,29,1,2
49,33,1,3
72,45,1,3
12,8,2,1
45,25,5,2
44,28,2,2
34,20,1,1
31,18,2,1
75,43,1,3
36,21,1,1
95,64,1,4
97,52,1,3
30,30,1,1
96,52,1,3
38,19,1,1
64,28,4,2
57,57,1,2
52,30,1,2
59,29,1,2
33,21,5,1
32,18,1,1
39,37,1,1
78,78,1,3
53,30,1,2
58,38,1,3
78,51,2,3
77,46,1,3
38,18,1,1
45,42,1,1
26,17,2,1
41,18,1,1
53,30,1,2
77,77,1,3
45,29,1,2
37,19,1,1
1,1,1,1
151,82,2,4
70,48,2,3
78,44,1,3
32,32,1,1
43,26,2,2
56,29,1,2
39,22,5,2
72,43,2,3
39,19,1,1
52,30,1,2
48,48,1,1
44,28,5,2
51,30,1,2
52,28,1,2
43,16,2,4
39,19,1,1
35,19,5,1
53,30,1,2
71,41,4,3
37,37,1,1
57,33,1,2
37,22,5,2
40,20,1,1
58,32,1,2
31,31,4,1
44,26,1,2
56,32,1,2
38,19,1,1
45,45,6,3
37,19,1,1
63,37,1,3
48,29,2,2
38,23,5,2
71,30,1,2
77,44,1,3
38,19,1,1
37,19,1,1
45,30,1,2
106,79,4,1
38,19,5,1
46,27,1,2
38,19,5,1
84,44,1,3
73,44,1,3
29,29,1,1
43,28,5,2
45,28,2,2
52,27,5,2
32,18,1,1
92,92,4,3
34,19,1,1
58,43,1,3
32,18,2,1
53,30,6,2
38,18,2,1
92,64,2,4
49,24,4,1
54,54,2,2
38,19,1,1
93,50,6,3
45,29,1,2
57,39,1,3
64,33,2,2
63,38,1,3
51,34,1,3
38,19,2,1
50,31,2,2
79,76,4,3
41,18,6,1
35,18,6,1
52,52,1,2
71,47,1,3
82,45,1,3
76,45,1,3
75,72,4,3
63,58,1,2
38,38,1,1
72,43,1,3
90,82,2,2
64,38,1,3
82,52,1,3
57,30,1,2
80,45,1,3
74,74,1,3
50,29,1,2
75,45,1,3
64,64,1,2
33,13,6,1
42,28,2,2
112,112,4,4
40,38,4,1
