full_sq,life_sq,material,num_room
41,17,4,1
45,27,1,2
63,39,1,3
38,20,1,1
32,17,1,1
45,40,2,1
62,43,1,3
64,37,6,2
53,31,1,2
51,30,1,2
44,28,1,2
75,43,1,3
46,29,1,2
72,40,1,3
51,30,1,2
61,61,1,2
66,36,6,2
53,32,1,2
107,107,6,3
59,34,1,2
75,44,1,3
37,23,5,2
63,36,4,2
32,18,1,1
36,36,1,1
54,30,1,2
55,55,1,2
38,19,1,1
131,73,4,4
51,34,2,2
43,27,2,2
68,40,2,2
53,29,1,2
38,19,1,1
31,16,1,1
44,30,1,2
54,32,1,2
112,63,4,3
31,20,1,1
50,33,1,3
35,19,2,1
38,19,1,1
77,44,1,3
59,38,1,3
38,22,5,2
79,46,1,3
47,26,2,2
32,21,5,1
49,31,1,2
53,30,1,2
38,19,1,1
104,104,1,3
31,17,2,1
54,32,1,2
57,25,4,1
60,28,4,2
64,37,1,2
80,47,1,3
61,34,1,2
39,20,1,1
60,42,1,3
27,26,4,1
38,18,1,1
36,19,2,1
33,20,5,1
63,30,4,2
33,19,1,1
43,24,5,2
75,51,2,3
32,19,5,1
62,36,4,2
34,20,1,1
88,44,2,2
52,30,1,2
93,77,4,1
65,65,6,2
74,34,1,2
43,42,1,1
39,21,1,1
62,38,1,3
51,28,1,2
54,27,5,2
39,21,1,1
66,45,1,3
79,74,1,3
49,34,1,2
59,38,1,3
37,37,4,1
51,30,5,2
40,26,2,2
64,41,1,3
32,20,1,1
38,22,5,2
35,22,1,1
37,22,5,2
47,46,1,2
54,32,1,2
43,27,2,2
40,38,1,1
50,30,1,2
60,34,1,2
36,21,1,1
69,45,2,3
47,28,1,2
122,70,4,4
64,64,4,2
79,44,1,3
38,19,1,1
53,30,1,2
35,14,1,1
69,65,1,3
38,19,1,1
53,31,1,2
53,30,1,2
56,42,2,3
74,53,2,3
81,52,5,3
43,27,2,2
60,60,1,2
21,13,2,1
30,18,2,1
115,54,4,3
45,30,1,2
54,54,6,2
68,43,2,3
58,30,1,2
39,17,1,1
32,19,2,1
37,18,1,1
76,44,1,3
32,19,5,1
43,27,1,2
37,19,1,1
36,17,1,1
41,25,1,2
79,41,6,3
84,45,1,3
60,43,1,3
95,51,6,3
45,28,1,2
77,45,1,3
52,30,1,2
52,30,1,2
54,30,1,2
92,92,2,2
31,18,2,1
67,46,5,3
71,50,2,3
40,40,1,1
52,19,6,1
32,18,4,1
54,32,1,2
57,57,4,2
41,41,1,1
42,42,1,1
89,89,1,3
38,19,1,1
31,18,2,1
109,54,1,3
42,25,1,2
56,55,1,2
39,19,1,1
42,29,2,2
39,18,6,1
97,97,4,4
76,76,1,3
31,30,1,1
38,20,1,1
56,56,1,2
44,29,1,2
45,30,1,2
39,20,1,1
34,14,1,1
41,21,1,1
46,29,1,2
39,25,2,2
70,36,1,2
76,45,1,3
97,52,1,3
43,29,2,2
38,19,1,1
57,40,2,3
32,17,2,1
47,30,1,2
54,32,1,2
46,28,1,2
34,19,5,1
73,36,4,2
47,28,1,2
51,30,1,2
78,38,1,2
54,37,1,3
45,30,2,2
75,42,1,3
43,26,5,2
32,18,1,1
45,30,1,2
32,17,1,1
33,18,2,1
34,34,5,1
50,30,1,2
85,51,1,3
62,62,1,2
37,19,1,1
41,20,1,1
61,41,6,2
60,28,4,2
39,19,1,1
38,17,1,1
38,38,1,1
53,30,1,2
59,44,1,3
32,15,1,1
78,44,1,3
85,47,1,3
48,28,1,2
61,61,1,1
34,19,1,1
43,43,1,2
54,28,5,2
71,42,1,3
31,20,1,1
38,22,5,2
30,17,1,1
59,59,1,2
58,39,1,3
29,17,2,1
76,44,1,3
99,65,2,4
41,41,1,1
69,39,2,3
35,19,4,1
44,31,2,2
64,40,1,3
36,14,1,1
32,18,1,1
75,43,1,3
61,37,1,3
41,25,2,2
48,29,5,2
70,49,1,4
44,28,1,2
38,20,1,1
57,37,1,3
90,48,1,3
31,30,1,1
39,20,1,1
50,33,5,2
32,18,1,1
50,8,1,2
31,18,2,1
84,81,6,3
49,49,1,1
82,51,1,3
15,10,2,1
43,28,2,2
61,29,4,2
137,89,4,2
38,19,1,1
39,24,2,2
60,39,1,3
75,75,1,2
61,33,1,2
87,32,2,2
34,32,5,1
83,48,1,3
1,1,4,1
125,67,6,3
79,51,1,4
53,29,1,2
52,30,1,2
37,18,1,1
112,112,4,3
44,27,1,2
37,22,2,2
45,27,1,2
43,26,2,2
35,14,1,1
62,38,1,3
50,30,1,2
43,24,2,2
66,45,1,3
53,38,1,3
51,30,1,2
37,19,1,1
41,26,2,2
73,44,1,3
41,26,1,2
76,47,1,3
64,43,1,3
45,25,4,2
36,22,5,2
30,17,2,1
58,37,1,3
17,13,2,1
45,45,1,1
76,52,1,4
43,26,2,2
40,18,1,1
35,17,2,1
46,29,1,2
43,29,1,2
74,46,1,3
53,28,5,2
38,19,1,1
78,43,1,3
47,30,1,2
32,20,5,1
51,30,1,2
39,19,1,1
44,42,1,1
73,36,1,2
41,28,2,2
72,44,2,3
50,31,1,2
81,47,1,3
46,20,4,1
76,45,1,3
34,19,5,1
40,21,1,1
45,29,1,2
43,40,6,1
48,44,1,1
52,30,1,2
74,74,1,1
61,33,1,2
51,30,1,2
52,30,1,2
62,38,1,3
33,19,5,1
49,31,5,2
65,35,2,2
37,19,1,1
51,30,1,2
37,19,2,1
59,44,1,3
39,19,1,1
35,35,1,1
64,64,1,2
65,45,1,3
43,27,1,2
38,18,1,1
38,18,4,1
40,27,2,2
30,17,2,1
44,40,1,1
96,90,2,4
65,59,1,2
38,19,1,1
65,47,1,3
38,19,1,1
45,28,1,2
41,17,1,1
74,46,1,3
39,20,1,1
47,44,1,2
54,39,5,3
