full_sq,life_sq,material,num_room
114,82,2,3
44,26,2,2
78,77,1,3
15,11,2,1
79,76,1,1
84,49,1,3
37,19,1,1
38,18,4,1
48,17,2,1
35,19,5,1
58,32,1,2
43,43,1,1
60,33,1,2
45,27,1,2
33,18,1,1
44,30,1,2
38,19,1,1
54,31,1,2
51,30,1,2
32,19,2,1
30,30,1,1
32,18,1,1
37,19,1,1
38,18,1,1
53,30,1,2
39,39,2,1
60,42,1,3
74,45,1,3
97,50,1,3
37,18,1,1
53,30,1,2
153,153,1,4
35,20,1,1
38,19,1,1
33,17,2,1
63,38,1,3
41,17,1,1
78,46,2,3
111,64,1,3
58,32,1,2
56,35,2,2
91,52,4,3
99,64,1,4
67,47,2,3
65,34,1,2
99,64,1,4
38,18,1,1
73,73,1,3
127,123,1,3
63,63,1,2
45,28,1,2
58,32,1,2
32,19,1,1
75,46,1,3
53,32,1,2
56,51,1,2
44,28,1,2
39,22,1,2
38,38,1,1
79,45,1,3
41,27,5,2
58,34,1,2
60,60,4,2
38,23,2,1
40,25,2,2
37,37,4,1
44,27,1,2
73,44,1,3
43,29,2,2
153,94,6,4
62,34,1,2
67,46,5,3
1,1,1,1
38,20,1,1
36,20,5,1
39,23,5,2
79,51,1,3
38,19,1,1
31,16,2,1
61,61,1,2
43,43,1,1
77,47,4,3
52,30,1,2
37,19,1,1
43,27,1,2
45,28,5,2
42,26,2,2
149,149,4,3
45,30,1,2
45,30,1,2
51,29,2,2
78,44,1,3
41,22,5,2
45,27,1,2
55,55,1,3
83,44,1,3
76,44,1,3
39,23,1,2
67,47,1,3
29,18,2,1
44,27,1,2
54,32,1,2
36,20,1,1
54,32,1,2
50,27,2,2
80,44,4,2
80,52,2,3
33,17,1,1
41,24,1,2
39,20,1,1
80,48,2,3
65,46,1,4
69,46,5,3
38,15,1,1
119,119,1,3
51,30,1,2
54,32,1,2
41,22,5,2
56,33,1,1
34,18,1,1
38,38,1,1
78,78,1,3
46,27,1,2
34,19,5,1
42,25,1,2
70,32,1,2
78,23,4,1
58,43,1,3
40,40,1,1
28,11,1,1
75,44,1,3
45,27,1,2
37,18,2,1
36,36,1,1
78,43,1,3
35,22,1,1
39,20,1,1
44,29,1,2
77,44,1,3
28,14,2,1
89,58,2,3
74,45,1,3
60,40,4,2
67,66,5,3
39,18,4,1
33,20,5,1
37,21,1,2
39,37,1,1
115,55,4,3
38,19,1,1
42,26,1,2
38,20,1,1
79,44,1,3
54,28,5,2
60,34,1,2
39,20,1,1
88,59,6,3
54,36,1,3
56,34,2,2
32,19,5,1
40,25,1,2
52,52,4,2
84,38,1,2
38,20,1,1
54,31,1,2
68,44,5,3
48,45,4,2
