full_sq,life_sq,material,num_room
59,44,1,3
35,20,5,1
55,30,1,2
33,33,2,1
43,19,1,1
57,56,1,2
44,29,5,2
30,18,2,1
36,20,1,1
41,25,5,2
59,58,1,2
54,32,1,2
30,18,2,1
63,33,1,2
38,19,5,1
41,20,1,1
38,20,1,1
43,29,2,2
72,35,4,2
39,37,4,1
51,30,1,2
60,60,1,2
31,30,5,1
38,20,1,1
72,72,1,3
39,19,1,1
53,29,1,2
43,43,1,1
29,17,2,1
76,44,1,3
56,42,2,3
51,30,1,2
76,45,1,3
42,18,6,1
37,23,2,2
85,60,4,3
76,46,1,3
65,39,1,3
35,19,5,1
45,26,1,2
63,37,1,3
38,15,4,1
35,19,5,1
63,38,1,3
38,23,5,2
68,41,1,3
79,44,1,3
32,18,1,1
80,37,2,2
42,20,2,1
27,27,1,1
37,19,1,1
68,47,2,3
44,28,2,2
42,28,2,2
45,29,1,2
50,31,5,2
38,23,1,2
75,45,1,3
53,28,5,2
58,43,1,3
32,21,5,1
54,32,1,2
29,27,1,1
43,19,1,1
30,18,5,1
32,19,5,1
41,26,2,2
136,99,2,4
74,43,1,3
51,51,1,2
39,19,1,1
44,27,1,2
39,16,6,1
55,29,1,2
41,22,2,1
74,74,1,3
58,58,1,2
41,18,1,1
75,72,4,3
44,28,1,2
64,45,1,3
28,17,2,1
64,64,4,2
58,41,1,3
35,18,2,1
38,19,1,1
59,38,1,3
47,20,1,1
27,26,1,1
37,37,1,1
45,28,5,2
64,43,1,3
50,30,1,2
54,32,1,2
45,19,1,1
61,40,6,2
39,18,4,1
36,15,6,1
48,48,1,1
31,18,2,1
72,44,1,3
80,50,2,3
41,41,1,1
41,20,1,1
38,19,1,1
54,32,1,2
51,30,1,2
1,1,1,1
75,44,1,3
72,43,1,3
33,18,1,1
40,40,1,1
132,75,4,3
47,27,1,2
32,18,1,1
42,28,1,2
61,34,2,2
38,20,1,1
55,31,4,2
38,38,1,1
55,34,2,2
53,30,1,2
92,64,2,4
68,46,5,3
59,43,1,3
80,50,6,3
73,52,2,3
105,70,2,4
60,34,1,2
44,28,1,2
41,41,1,1
46,29,1,2
38,23,2,2
41,23,1,1
53,32,1,2
54,52,2,2
65,39,1,3
56,36,2,3
32,17,5,1
46,28,1,2
52,30,1,2
52,52,1,2
62,43,1,2
75,75,1,2
42,20,1,1
53,31,2,2
43,27,1,2
102,65,1,4
74,40,1,3
43,28,2,2
52,30,1,2
31,18,2,1
72,44,1,3
74,44,1,3
55,30,1,2
97,46,4,3
137,89,1,2
77,77,1,3
74,44,1,3
36,19,1,1
54,32,1,2
77,45,1,3
40,20,1,1
38,20,1,1
45,21,6,1
32,17,1,1
125,67,2,4
79,79,1,3
42,17,1,1
45,27,1,2
44,28,5,2
60,44,1,3
83,48,1,3
75,51,2,3
66,45,5,3
76,52,1,4
39,18,1,1
78,39,1,3
39,18,1,1
43,27,1,2
65,43,1,3
55,31,2,2
32,18,1,1
44,27,1,2
26,14,1,1
40,25,1,2
101,101,1,3
44,43,4,1
40,40,1,1
34,18,1,1
37,18,1,1
