full_sq,life_sq,material,num_room
60,60,1,2
44,27,1,2
61,34,1,2
38,22,1,2
59,59,1,2
28,17,1,1
72,44,1,3
44,29,1,2
44,28,2,2
38,18,1,1
85,47,1,3
76,46,1,3
37,22,5,2
37,19,6,1
30,18,2,1
52,50,6,2
219,118,4,3
54,29,2,2
41,26,1,2
44,28,1,2
71,71,1,3
39,19,1,1
32,20,1,1
39,17,1,1
59,30,6,2
59,45,1,3
39,21,1,1
40,18,2,1
32,18,1,1
43,20,2,1
38,20,1,1
60,34,1,2
49,29,2,2
45,30,5,2
81,48,1,3
58,44,2,3
60,34,1,2
73,44,5,3
79,44,1,3
47,35,1,2
32,18,1,1
57,38,2,3
30,18,2,1
60,43,1,3
54,30,1,2
54,54,6,1
44,28,1,2
51,51,1,2
45,24,1,2
29,15,1,1
85,62,2,4
45,29,1,2
41,26,1,2
85,44,1,3
84,48,1,3
56,56,2,3
43,29,2,2
38,20,2,1
60,32,1,1
60,36,4,2
55,33,2,2
44,28,2,2
107,58,4,3
53,30,1,2
56,35,2,2
64,38,1,3
54,54,1,1
51,30,1,2
66,45,1,3
38,20,1,1
44,28,1,2
40,40,1,1
93,53,1,3
53,30,1,2
84,49,1,3
61,32,1,2
32,18,1,1
32,17,1,1
78,78,6,3
65,43,1,3
32,18,1,1
32,18,2,1
80,47,1,3
51,33,2,3
54,30,1,2
117,65,4,3
32,21,5,1
43,26,5,2
62,39,1,3
39,19,1,1
71,50,2,3
58,37,1,3
62,39,1,3
39,21,1,1
42,20,1,1
45,27,1,2
46,30,1,2
57,30,1,2
53,30,1,2
37,19,5,1
80,46,1,3
46,18,6,1
74,50,2,2
37,18,1,1
39,38,2,2
63,37,1,3
46,29,1,2
63,30,6,2
39,19,2,1
87,56,1,3
37,18,5,1
58,43,1,3
69,33,2,2
44,27,2,2
65,32,1,2
38,20,1,1
38,18,1,1
61,61,1,2
49,29,2,2
83,60,6,3
37,18,5,1
52,30,1,2
60,33,1,2
44,27,1,2
45,28,1,2
41,16,4,1
38,38,1,1
66,43,2,3
46,30,5,2
76,55,6,3
76,76,1,3
64,34,1,2
36,18,5,1
78,45,1,3
45,31,1,2
39,20,1,1
60,43,1,3
32,21,5,1
36,19,1,1
57,32,5,2
41,20,1,1
