full_sq,life_sq,material,num_room
90,61,5,4
51,24,1,1
39,20,1,1
63,58,1,2
76,45,1,3
66,44,1,3
52,32,1,2
110,52,4,3
59,42,1,3
48,19,4,1
38,20,1,1
66,45,1,3
53,33,2,2
52,30,1,2
65,46,1,3
67,45,2,3
43,43,4,1
37,24,2,2
38,18,4,1
32,18,1,1
79,79,1,3
63,33,4,2
61,34,1,2
73,45,1,3
32,20,1,1
58,42,1,3
73,43,1,3
42,23,1,2
44,29,1,2
81,81,2,3
31,18,2,1
47,42,6,1
38,20,1,1
102,54,2,3
50,29,1,2
41,23,1,2
31,17,2,1
90,54,2,3
55,37,1,3
34,22,1,1
74,74,1,2
52,30,1,2
53,28,1,2
50,25,2,2
39,23,5,2
44,29,1,2
58,42,1,3
68,46,1,3
83,50,2,3
80,80,1,3
47,30,1,2
39,20,1,1
34,19,5,1
39,19,1,1
34,34,5,1
90,38,1,3
37,19,1,1
31,15,2,1
53,31,1,2
41,24,2,2
54,32,1,2
40,20,1,1
40,19,4,1
19,13,1,1
138,70,4,3
47,30,1,2
39,20,1,1
41,21,1,1
92,54,6,3
104,80,2,3
48,24,4,2
40,20,1,1
39,21,5,2
35,17,2,1
36,20,5,1
88,53,1,4
38,23,5,2
69,48,2,3
55,41,2,3
55,37,1,3
61,43,1,3
47,30,1,2
98,51,1,3
80,41,4,2
52,30,1,2
45,45,1,1
49,29,1,1
31,19,1,1
50,31,5,2
32,18,1,1
44,44,5,2
42,26,2,2
61,40,2,2
45,30,1,2
81,44,1,3
53,32,1,2
45,27,1,2
43,27,1,2
34,34,1,1
45,28,1,2
38,20,1,1
50,29,1,2
30,17,1,1
45,27,1,2
76,73,1,3
28,27,2,1
46,31,1,2
77,39,6,2
41,26,1,2
66,36,2,2
44,39,2,1
44,28,1,2
23,16,2,1
51,30,1,2
54,29,1,2
31,18,2,1
38,20,1,1
37,19,1,1
38,20,1,1
37,22,5,2
72,43,1,3
29,18,2,1
52,41,2,3
40,18,2,1
53,30,1,2
29,15,1,1
46,29,5,2
84,48,1,3
63,36,2,2
46,18,6,1
78,23,4,1
1,1,4,1
47,30,1,2
38,23,5,2
37,22,5,2
43,28,1,2
74,50,1,3
38,20,4,1
76,44,1,3
52,52,1,2
35,14,1,1
77,77,1,3
40,23,5,2
54,54,4,2
54,28,1,2
45,24,2,2
68,41,2,3
45,40,1,1
58,58,1,2
52,52,1,1
87,54,1,4
54,36,5,3
35,19,5,1
38,19,1,1
54,54,1,2
74,50,2,3
41,24,1,2
36,20,1,1
39,22,5,2
37,19,5,1
45,27,1,2
40,20,1,1
32,19,1,1
58,52,2,1
79,45,1,3
50,35,1,2
44,27,1,2
72,40,1,3
75,44,1,3
88,48,1,3
100,35,1,2
65,47,1,3
37,22,1,2
61,61,6,2
60,43,1,3
67,67,1,2
38,18,1,1
42,29,2,2
44,28,1,2
64,36,4,2
44,28,1,2
59,42,1,3
82,48,1,3
30,18,2,1
32,19,1,1
39,22,1,2
34,19,5,1
31,17,2,1
52,30,1,2
38,19,1,1
52,30,1,2
44,28,1,2
62,30,2,2
32,18,2,1
34,18,1,1
79,44,1,3
57,42,1,3
64,63,6,3
57,29,2,2
39,21,1,1
80,45,1,3
39,18,4,1
35,19,5,1
42,20,2,1
42,19,1,1
72,43,1,3
35,20,1,1
207,93,2,4
65,64,2,3
38,19,1,1
52,31,1,2
96,58,1,4
37,19,1,1
35,19,1,1
39,39,1,1
49,29,2,2
43,19,1,1
60,43,1,3
37,19,1,1
41,22,1,2
62,62,1,2
39,20,1,1
50,34,1,3
82,50,1,3
99,70,2,4
36,19,1,1
59,38,1,3
14,9,2,1
38,17,1,1
58,34,1,2
63,44,1,3
60,60,1,1
74,42,1,3
74,44,1,3
69,33,4,2
68,34,1,2
41,21,1,1
54,32,1,2
54,35,2,3
28,28,1,1
18,11,1,1
49,34,1,3
35,19,1,1
46,29,1,2
